"YEAR","codTSB","T12","I5","NAOspring","haddock68","R3haddock"
1990,913000,4.72,43,0.643333333333333,74586,812363
1991,1347064,4.66,55,0.0566666666666667,79205,389416
1992,1687381,4.24,26,1.78666666666667,53195,99474
1993,2197863,3.9,49,0.286666666666667,36337,98946
1994,2112773,3.96,56,0.61,49122,118812
1995,1849957,4.27,28,-0.363333333333333,81514,63028
1996,1697388,4.16,52,-0.49,172177,147657
1997,1537459,4.07,51,0.0533333333333333,160886,83270
1998,1350918,4.23,69,-0.376666666666667,96380,359701
1999,1199169,5.08,68,0.0666666666666667,37977,386866
2000,1223157,4.89,41,0.773333333333333,28288,332712
2001,1477707,4.68,48,-0.426666666666667,30558,255646
2002,1594411,4.48,50,0.55,59852,354171
2003,1682627,4.84,63,0.05,61252,153663
2004,1568423,5.07,40,0.786666666666667,103087,514191
2005,1516694,5.4,44,-1.12666666666667,118063,1048186
2006,1539716,5.26,19,-0.393333333333333,98109,982329
2007,1865207,5.2,28,0.756666666666667,82372,235386
2008,2553066,5.04,35,-0.906666666666667,93854,117342
2009,3091745,5.56,52,0.683333333333333,90216,331422
2010,3328980,4.73,52,-1.03,131339,117064
2011,3552449,5.07,41,1.01,240907,399947
2012,3625094,5.31,22,0.276666666666667,401812,71899
2013,3695151,5.2,38,-0.116666666666667,419627,206289
2014,3416507,5.08,45,0.0633333333333333,311153,191476
2015,3243403,5.66,30,0.776666666666667,227670,353237
2016,2822461,5.64,19,0.113333333333333,173203,774629
2017,2754263,5.44,40,0.186666666666667,205303,414489
2018,2543558,5.2,39,0.81,110685,153939
2019,2421489,4.66,36,-0.306666666666667,105631,44626
2020,2131600,4.83,35,-0.14,79001,164015
2021,1920246,4.86,38,-0.646666666666667,71268,469037
